Date,BR Activity,BR Futures,Dolar Ref,BR Futures P&L,US Activity,US Futures,US Futures P&L,US Equities P&L,Futures P&L,Total P&L,Return in %,Total P&L Cum Sum,Return Cum Sum
15/09/2020,0.0,-68865.29,5.2798,-13043.162619796203,0.0,15099.88854000115,15099.88854000115,0.0,2056.7259202049463,2056.7259202049463,0.265383989703864,34802.31667074876,4.490621505903066
16/09/2020,0.0,-5488.36,5.2305,-1049.2993021699644,0.0,845.6011799990757,845.6011799990757,0.0,-203.69812217088872,-203.69812217088872,-0.02628362866721145,34598.61854857787,4.464337877235855
17/09/2020,0.0,-23961.05,5.2408,-4572.021447107311,0.0,1514.2643799997568,1514.2643799997568,0.0,-3057.7570671075546,-3057.7570671075546,-0.39454929898161994,31540.861481470314,4.069788578254235
18/09/2020,0.0,49554.78,5.4045,9169.17013599778,0.0,-9972.049139999359,-9972.049139999359,0.0,-802.8790040015792,-802.8790040015792,-0.10359729083891346,30737.982477468737,3.966191287415321
21/09/2020,0.0,-30029.53,5.4155,-5545.107561628659,0.0,238.21993500015927,238.21993500015927,0.0,-5306.8876266285,-5306.8876266285,-0.6847596937585161,25431.094850840236,3.281431593656805
22/09/2020,0.0,-91957.66,5.4649,-16826.961152079635,0.0,19889.354814999453,19889.354814999453,0.0,3062.393662919818,3062.393662919818,0.3951475694090088,28493.488513760054,3.676579163065814
23/09/2020,0.0,149840.62,5.5675,26913.447687471937,0.0,-32007.30049999996,-32007.30049999996,0.0,-5093.8528125280245,-5093.8528125280245,-0.6572713306487774,23399.63570123203,3.0193078324170366
24/09/2020,0.0,11617.99,5.5062,2109.983291562239,0.0,-1991.1846500002093,-1991.1846500002093,0.0,118.79864156202984,118.79864156202984,0.015328856975745786,23518.43434279406,3.0346366893927823
25/09/2020,0.0,-30.43,5.5526,-5.480315527860822,0.0,-2126.009959999861,-2126.009959999861,0.0,-2131.490275527722,-2131.490275527722,-0.2750310032938996,21386.944067266337,2.7596056860988827
28/09/2020,0.0,-88645.82,5.6211,-15770.190887904504,0.0,18742.220039999826,18742.220039999826,0.0,2972.0291520953215,2972.0291520953215,0.38348763252842855,24358.97321936166,3.143093318627311
