Date,MtoM P&L,Gross P&L,Receipt Value,Comm,Exc Fee,FX Description,FX Rate,FX Value,Receipt Value Cum Sum,FX Value Cum Sum,Settlement Cum Sum,Total,Total Cum Sum
06/11/2020,-3182.5000000001537,-2178.2499600003257,-5425.124960000479,36.875,27.5,-,-,0.0,-68065.62862999545,67569.96981000001,4929.4661400050445,-5425.124960000479,-495.6588199954349
09/11/2020,23352.000000000095,36752.49983000008,60014.53483000018,46.915,43.05,FX - Sell USD,5.3084,-35000.0,-8051.093799995273,32569.96981000001,-35495.658819995435,25014.53483000018,24518.876010004744
10/11/2020,-2155.0,-1657.4999400000104,-3826.10494000001,6.695,6.91,-,-,0.0,-11877.198739995283,32569.96981000001,24518.876010004744,-3826.10494000001,20692.771070004732
11/11/2020,13739.999999999956,410.75000000001006,14109.984999999966,21.425,19.34,-,-,0.0,2232.786260004683,32569.96981000001,20692.771070004732,14109.984999999966,34802.756070004696
12/11/2020,-13911.999999999964,-677.5005550000151,-14785.52555499998,108.705,87.32,-,-,0.0,-12552.739294995297,32569.96981000001,34802.756070004696,-14785.52555499998,20017.230515004718
13/11/2020,-20040.0,10488.749999999982,-9578.050000000021,14.9,11.9,TT Fee,-,-250.0,-22130.789294995317,32319.96981000001,19767.230515004718,-9828.050000000021,10189.180515004697
13/11/2020,-20040.0,10488.749999999982,-9578.050000000021,14.9,11.9,Wire Fee,-,-25.0,-31708.839294995338,32294.96981000001,10164.180515004697,-9603.050000000021,586.1305150046755
16/11/2020,-290.00000000000136,1237.5,939.2499999999986,4.5,3.75,-,-,0.0,-30769.589294995338,32294.96981000001,586.1305150046755,939.2499999999986,1525.3805150046742
17/11/2020,-2949.999999999971,676.2500999997883,-2323.589900000183,27.27,22.57,-,-,0.0,-33093.17919499552,32294.96981000001,1525.3805150046742,-2323.589900000183,-798.209384995509
18/11/2020,29040.000000000062,-21937.500000000116,6978.749999999951,67.5,56.25,-,-,0.0,-26114.429194995573,32294.96981000001,-798.209384995509,6978.749999999951,6180.540615004442
19/11/2020,-6869.9999999999145,9208.49999999986,2266.144999999945,39.565,32.79,-,-,0.0,-23848.284194995627,32294.96981000001,6180.540615004442,2266.144999999945,8446.685615004386
20/11/2020,17713.50000000006,-3064.500769999843,14486.584230000215,88.745,73.67,-,-,0.0,-9361.699964995412,32294.96981000001,8446.685615004386,14486.584230000215,22933.2698450046
23/11/2020,-15940.000000000136,5106.250000000091,-10910.575000000046,41.975,34.85,-,-,0.0,-20272.274964995457,32294.96981000001,22933.2698450046,-10910.575000000046,12022.694845004555
