Date,MtoM P&L,Receipt Value,Comm,Exc Fee,FX Description,FX Rate,FX Value,Receipt Value Cum Sum,FX Value Cum Sum,Settlement Cum Sum,Total Cum Sum
16/09/2020,1950.0,845.6011799990757,442.45,360.7,-,-,0.0,-70638.57422499682,97569.96981000001,26085.79440500413,26931.39558500321
17/09/2020,30.000000000002245,1514.2643799997568,663.72,532.02,-,-,0.0,-69124.30984499706,97569.96981000001,26931.395585003207,28445.659965002968
18/09/2020,-15939.999999999949,-9972.04913999936,286.65,224.15,-,-,0.0,-79096.35898499642,97569.96981000001,28445.659965002964,18473.610825003605
21/09/2020,-6860.000000000003,238.21993500015927,116.34,90.44,-,-,0.0,-78858.13904999626,97569.96981000001,18473.610825003605,18711.830760003766
22/09/2020,14973.500000000102,19889.354814999453,122.185,92.96,-,-,0.0,-58968.784234996805,97569.96981000001,18711.830760003766,38601.18557500322
23/09/2020,-20714.500000000047,-32007.30049999996,140.39999999999998,106.15,-,-,0.0,-90976.08473499677,97569.96981000001,38601.18557500322,6593.885075003258
24/09/2020,4135.000000000002,-1991.1846500002093,168.30499999999995,127.88,-,-,0.0,-92967.26938499698,97569.96981000001,6593.885075003258,4602.700425003049
25/09/2020,-2728.0000000000146,-2126.009959999861,76.78,59.23,-,-,0.0,-95093.27934499684,97569.96981000001,4602.700425003049,2476.6904650031875
28/09/2020,18179.999999999956,18742.220039999826,64.34,49.69,-,-,0.0,-76351.05930499702,97569.96981000001,2476.6904650031875,21218.910505003012
29/09/2020,-635.0000000000127,-1914.1497400002802,126.20999999999998,100.19,-,-,0.0,-78265.2090449973,97569.96981000001,21218.910505003012,19304.76076500273
30/09/2020,3294.000000000035,107.76497000003292,32.465,27.520000000000003,-,-,0.0,-78157.44407499727,97569.96981000001,19304.76076500273,19412.525735002764
01/10/2020,2222.499999999982,250.05024999981103,213.35,164.1,-,-,0.0,-77907.39382499746,97569.96981000001,19412.525735002764,19662.575985002575
02/10/2020,682.4999999999964,5332.829540001148,176.01,136.91,-,-,0.0,-72574.5642849963,97569.96981000001,19662.575985002575,24995.405525003724
05/10/2020,1289.5000000000073,1645.0998000003601,61.08,49.57,-,-,0.0,-70929.46448499594,97569.96981000001,24995.405525003724,26640.505325004084
