Date,Ticker,Buy Quant,Buy Price,Sell Quant,Sell Price,Px Close,Sell Quant Rolagem,Buy Quant Rolagem,Buy Price Rolagem,Sell Price Rolagem,Buy Quant Total,Sell Quant Total,Dolar Ref,Dolar Ref Last Month,Hold Pos,MtoM P&L,Gross P&L Trades,Gross P&L Rolagem,Gross P&L,Comm,Register Fee,Avg Weekly Traded Vol,Exc Fee,Net P&L
14/01/2021,ISPM21,0.0,0.0,0.0,0.0,3782.75,0.0,0.0,0.0,0.0,0.0,0.0,5.1989,5.1967,20.0,-93580.2,0.0,0.0,0.0,0.0,2.61,30.714285714285715,0.0,-93580.2
15/01/2021,ISPM21,5.0,3757.0,0.0,0.0,3748.5,0.0,0.0,0.0,0.0,5.0,0.0,5.2961,5.1967,25.0,-181391.425,-11254.2125,0.0,-11254.2125,5.0,2.61,30.714285714285715,67.81693499999999,-192718.454435
18/01/2021,ISPM21,0.0,0.0,0.0,0.0,3752.25,0.0,0.0,0.0,0.0,0.0,0.0,5.2810000000000015,5.1967,25.0,24754.687500000007,0.0,0.0,0.0,0.0,2.61,26.047619047619047,0.0,24754.687500000007
19/01/2021,ISPM21,0.0,0.0,5.0,3791.0,3793.0,0.0,0.0,0.0,0.0,0.0,5.0,5.3533,5.1967,20.0,272683.71875,-2676.65,0.0,-2676.65,5.0,2.61,26.047619047619047,67.81693499999999,269934.25181499997
20/01/2021,ISPM21,0.0,0.0,12.0,3848.0,3848.0,0.0,0.0,0.0,0.0,0.0,12.0,5.3166,5.1967,8.0,292413.0,0.0,0.0,0.0,12.0,2.61,26.047619047619047,162.76064399999998,292238.239356
21/01/2021,ISPM21,1.0,3845.25,1.0,3847.0,3849.0,0.0,0.0,0.0,0.0,1.0,1.0,5.3725,5.1967,8.0,2149.0,470.09374999999994,0.0,470.09374999999994,2.0,2.61,26.047619047619047,13.563386999999999,2603.530363
22/01/2021,ISPM21,5.0,3825.2,13.0,3840.0,3828.5,0.0,0.0,0.0,0.0,5.0,13.0,5.465,5.1967,0.0,-44813.0,45359.50000000025,0.0,45359.50000000025,18.0,2.61,26.047619047619047,176.324031,352.1759690002474
26/01/2021,ISPM21,0.0,0.0,1.0,3843.0,3845.0,0.0,0.0,0.0,0.0,0.0,1.0,5.3514,5.1967,-1.0,0.0,-535.14,0.0,-535.14,1.0,2.61,31.38095238095238,13.563386999999999,-549.703387
27/01/2021,ISPM21,28.0,3781.508928571429,0.0,0.0,3747.0,0.0,0.0,0.0,0.0,28.0,0.0,5.377999999999999,5.1967,27.0,26352.199999999997,-259824.6250000024,0.0,-259824.6250000024,28.0,2.61,31.38095238095238,379.774836,-233880.19983600237
28/01/2021,ISPM21,5.0,3793.15,10.0,3783.25,3783.25,0.0,0.0,0.0,0.0,5.0,10.0,5.4287,5.1967,22.0,265667.00625,-13436.032500000123,0.0,-13436.032500000123,15.0,2.61,31.38095238095238,135.63386999999997,252080.33987999987
29/01/2021,ISPM21,31.0,3707.5161290322603,7.0,3720.0,3720.0,0.0,0.0,0.0,0.0,31.0,7.0,5.4759,5.1967,46.0,-380985.7425,105958.66499998084,0.0,105958.66499998084,38.0,2.61,31.38095238095238,420.464997,-275485.54249701917
01/02/2021,ISPM21,0.0,0.0,0.0,0.0,3773.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4635,5.4759,46.0,666000.65,0.0,0.0,0.0,0.0,2.61,45.23809523809524,0.0,666000.65
02/02/2021,ISPM21,34.0,3807.48529411765,8.0,3823.0,3825.0,0.0,0.0,0.0,0.0,34.0,8.0,5.3525,5.4759,72.0,640159.0,155088.68749997296,0.0,155088.68749997296,42.0,2.61,45.23809523809524,485.93136599999997,794719.756133973
03/02/2021,ISPM21,5.0,3829.15,0.0,0.0,3827.0,0.0,0.0,0.0,0.0,5.0,0.0,5.3732,5.4759,77.0,38687.04,-2888.095000000122,0.0,-2888.095000000122,5.0,2.61,45.23809523809524,71.460495,35722.48450499988
04/02/2021,ISPM21,0.0,0.0,5.0,3856.0,3858.0,0.0,0.0,0.0,0.0,0.0,5.0,5.4423,5.4759,72.0,649538.505,-2721.15,0.0,-2721.15,5.0,2.61,45.23809523809524,71.460495,646740.894505
05/02/2021,ISPM21,25.0,3874.06,0.0,0.0,3874.0,0.0,0.0,0.0,0.0,25.0,0.0,5.3627,5.4759,97.0,308891.52,-402.2024999996342,0.0,-402.2024999996342,25.0,2.61,45.23809523809524,357.302475,308107.01502500044
08/02/2021,ISPM21,0.0,0.0,10.0,3899.0,3899.0,0.0,0.0,0.0,0.0,0.0,10.0,5.3565,5.4759,87.0,649475.625,0.0,0.0,0.0,10.0,2.61,46.80952380952381,142.92099,649322.70401
09/02/2021,ISPM21,9.0,3898.30555555556,0.0,0.0,3899.0,0.0,0.0,0.0,0.0,9.0,0.0,5.375,5.4759,96.0,-0.0,1679.6874999887564,0.0,1679.6874999887564,9.0,2.61,46.80952380952381,128.628891,1542.0586089887563
10/02/2021,ISPM21,0.0,0.0,0.0,0.0,3898.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3742,5.4759,96.0,-25796.16,0.0,0.0,0.0,0.0,2.61,46.80952380952381,0.0,-25796.16
