Date,Ticker,Buy Quant,Buy Price,Sell Quant,Sell Price,Px Close,Hold Pos,MtoM P&L,Gross P&L,Comm,Comm Test,Exc Fee,Net P&L
18/08/2020,MES U20,0.0,0.0,0.0,0.0,3390.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0
19/08/2020,MES U20,0.0,0.0,0.0,0.0,3372.75,0.0,-0.0,0.0,0.0,0.47,0.0,0.0
20/08/2020,MES U20,0.0,0.0,0.0,0.0,3380.75,0.0,0.0,0.0,0.0,0.47,0.0,0.0
21/08/2020,MES U20,0.0,0.0,0.0,0.0,3392.5,0.0,0.0,0.0,0.0,0.47,0.0,0.0
24/08/2020,MES U20,0.0,0.0,0.0,0.0,3429.75,0.0,0.0,0.0,0.0,0.47,0.0,0.0
25/08/2020,MES U20,0.0,0.0,0.0,0.0,3447.75,0.0,0.0,0.0,0.0,0.47,0.0,0.0
26/08/2020,MES U20,0.0,0.0,0.0,0.0,3485.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0
27/08/2020,MES U20,0.0,0.0,0.0,0.0,3491.5,0.0,0.0,0.0,0.0,0.47,0.0,0.0
28/08/2020,MES U20,0.0,0.0,0.0,0.0,3510.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0
31/08/2020,MES U20,0.0,0.0,0.0,0.0,3495.0,0.0,-0.0,0.0,0.0,0.47,0.0,0.0
01/09/2020,MES U20,0.0,0.0,0.0,0.0,3532.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0
02/09/2020,MES U20,0.0,0.0,0.0,0.0,3579.25,0.0,0.0,0.0,0.0,0.47,0.0,0.0
03/09/2020,MES U20,0.0,0.0,0.0,0.0,3463.5,0.0,-0.0,0.0,0.0,0.47,0.0,0.0
04/09/2020,MES U20,5.0,3452.0,0.0,0.0,3417.5,5.0,-0.0,-862.5,2.3499999999999996,0.47,1.1,-865.95
08/09/2020,MES U20,0.0,0.0,5.0,3340.25,3335.0,0.0,-2062.5,131.25,2.3499999999999996,0.47,1.1,-1934.6999999999998
09/09/2020,MES U20,0.0,0.0,0.0,0.0,3400.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0
10/09/2020,MES U20,0.0,0.0,0.0,0.0,3340.5,0.0,-0.0,0.0,0.0,0.47,0.0,0.0
11/09/2020,MES U20,0.0,0.0,0.0,0.0,3333.75,0.0,-0.0,0.0,0.0,0.47,0.0,0.0
14/09/2020,MES U20,153.0,3386.183007,153.0,3383.300654,3381.0,0.0,0.0,-2205.0000449999743,90.27,0.295,67.32000000000001,-2362.5900449999745
15/09/2020,MES U20,94.0,3406.606383,130.0,3411.736538,3405.25,-36.0,0.0,3578.7496900001543,66.08,0.295,49.28,3463.389690000154
16/09/2020,MES U20,103.0,3405.502427000001,67.0,3406.697761,3392.75,0.0,2250.0,-1894.9999700004491,50.15,0.295,37.4,267.4500299995509
17/09/2020,MES U20,140.0,3351.714286,140.0,3347.071429,3361.5,0.0,-0.0,-3249.999899999875,82.6,0.295,61.6,-3394.199899999875
